Sentence,Entities
"""It is your own,""  replied a Greek attendant, who watched the motions of his soul; and Bohemond, after some hesitation,
 condescended to accept this magnificent present.","('Greek', 'NORP'), ('Bohemond', 'PERSON')"
"(11) Philip the First was the great-grandson of Hugh Capet, the founder of the present race, who, in the decline of Charlemagne's posterity, added the regal title to his patrimonial estates of Paris and Orleans.","('Philip', 'PERSON'), ('First', 'ORDINAL'), ('Hugh Capet', 'PERSON'), ('Charlemagne', 'PERSON'), ('Paris', 'GPE'), ('Orleans', 'GPE')"
(111),"('111', 'CARDINAL')"
(118),"('118', 'CARDINAL')"
(141),"('141', 'CARDINAL')"
(2),"('2', 'CARDINAL')"
(33),"('33', 'CARDINAL')"
(41),"('41', 'CARDINAL')"
(6),"('6', 'CARDINAL')"
"A
 mercantile, rather than a martial, spirit prevailed among
 his provincials, (51) a common name, which included the natives of Auvergne and Languedoc, (52) the vassals of the kingdom of Burgundy or Arles.","('51', 'CARDINAL'), ('Auvergne', 'LOC'), ('Languedoc', 'GPE'), ('52', 'CARDINAL'), ('Burgundy', 'GPE'), ('Arles', 'GPE')"
"A
 remnant was saved by the firmness of their bishops, who
 accepted a feigned and transient conversion; but the more
 obstinate Jews opposed their fanaticism to the fanaticism of
 the Christians, barricaded their houses, and precipitating
 themselves, their families, and their wealth, into the
 rivers or the flames, disappointed the malice, or at least
 the avarice, of their implacable foes.","('Jews', 'NORP'), ('Christians', 'NORP')"
"A Norman clerk presumed to sift, with a philosophic spirit, the truth of the legend, the circumstances of the discovery, and the character of the prophet; and the pious Bohemond ascribed their deliverance to the merits and intercession of Christ alone.","('Norman', 'PERSON'), ('Bohemond', 'PERSON')"
"A bloody
 sacrifice was offered by his mistaken votaries to the God of
 the Christians: resistance might provoke but neither age nor
 sex could mollify, their implacable rage: they indulged
 themselves three days in a promiscuous massacre; (110) and
 the infection of the dead bodies produced an epidemical
 disease.","('Christians', 'NORP'), ('three days', 'DATE'), ('110', 'CARDINAL')"
"A debt of
 three hundred years, or twelve hundred pounds, was enough to
 impoverish a plentiful fortune; the scarcity of gold and
 silver was supplied by the alienation of land; and the
 princely donations of Pepin and Charlemagne are expressly
 given for the remedy of their soul.","('three hundred years', 'DATE'), ('twelve hundred pounds', 'QUANTITY'), ('Pepin', 'PERSON'), ('Charlemagne', 'PERSON')"
"A latent motive of affection or vanity might influence the choice of Urban: he was himself a native of France, a monk of Clugny, and the first of his countrymen who ascended the throne of St. Peter.","('Urban', 'PERSON'), ('France', 'GPE'), ('Clugny', 'PERSON'), ('first', 'ORDINAL'), ('St. Peter', 'GPE')"
"A literal accomplishment of
 penance was indeed impracticable: the guilt of adultery was
 multiplied by daily repetition; that of homicide might
 involve the massacre of a whole people; each act was
 separately numbered; and, in those times of anarchy and
 vice, a modest sinner might easily incur a debt of three
 hundred years.","('three\r\n hundred years', 'DATE')"
