Sentence,Entities
(11),"('11', 'CARDINAL')"
(111),"('111', 'CARDINAL')"
(3),"('3', 'CARDINAL')"
(32),"('32', 'CARDINAL')"
(35),"('35', 'CARDINAL')"
"(5) Alexander and Caesar, Augustus, 
 Trajan, and Constantine acknowledged, with a blush, that
 fame, or power, or pleasure, had been the important object
 of their labours; but the gods themselves beheld with
 reverence and love a virtuous mortal, who had practised on
 the throne the lessons of philosophy, and who, in a state of
 human imperfection, had aspired to imitate the moral
 attributes of the Deity.","('Alexander', 'PERSON'), ('Caesar', 'PERSON'), ('Augustus', 'PERSON'), ('Trajan', 'PERSON'), ('Constantine', 'PERSON')"
"A
 flame arose on the opposite side; and Julian, who too
 clearly understood that his foremost vessels in attempting
 to land had been fired by the enemy, dexterously converted
 their extreme danger into a presage of victory.","('Julian', 'PERSON')"
"A
 simple, naked statue, finished by the hand of a Grecian
 artist, is of more genuine value than all these rude and
 costly monuments of barbaric labour; and, if we are more
 deeply affected by the ruin of a palace than by the
 conflagration of a cottage, our humanity must have formed a
 very erroneous estimate of the miseries of human life.(57)
Personal behaviour of Julian  
 Julian was an object of terror and hatred to the Persians;
 and the painters of that nation represented the invader of
 their country under the emblem of a furious lion, who
 vomited from his mouth a consuming fire.(58)","('Grecian', 'NORP'), ('57', 'CARDINAL'), ('Julian  \r\n Julian', 'PERSON'), ('Persians', 'NORP'), ('58', 'CARDINAL')"
"A detachment of four thousand men was left at Circesium, which completed, to the number of ten thousand, the regular garrison of that important fortress.(43)
His march over the desert of Mesopotamia  
From the moment that the Romans entered the enemy's country,
 (44) the country of an active and artful enemy, the order of march was disposed in three columns.(45)","('four thousand', 'CARDINAL'), ('Circesium', 'GPE'), ('ten thousand', 'CARDINAL'), ('Mesopotamia', 'LOC'), ('Romans', 'NORP'), ('44', 'CARDINAL'), ('three', 'CARDINAL'), ('45', 'CARDINAL')"
"A formidable body of Scythian auxiliaries
 had been transported from another climate, and almost from
 another world, to invade a distant country of whose name and
 situation they were ignorant.","('Scythian', 'NORP')"
"A milder sentence might have deprived the capital of the East of its honours and privileges, and the courtiers, perhaps the subjects of Julian, would have applauded an act of justice which asserted the dignity of the supreme magistrate of the republic. (19)","('East', 'LOC'), ('Julian', 'PERSON'), ('19', 'CARDINAL')"
"A multitude of
 artificial canals, dug without much labour in a soft and
 yielding soil, connected the rivers and intersected the
 plain of Assyria.","('Assyria', 'GPE')"
"A peace, or rather a long truce, of thirty
 years, was stipulated between the hostile nations; the faith
 of the treaty was ratified by solemn oaths and religious
 ceremonies; and hostages of distinguished rank were
 reciprocally delivered to secure the performance of the
 condition.","('thirty\r\n years', 'DATE')"
"A similar
 danger recalled the intrepid prince to the defence of the
 front; and, as he galloped between the columns, the centre
 of the left was attacked, and almost overpowered, by a
 furious charge of the Persian cavalry and elephants.","('Persian', 'NORP')"
"A small convoy of provisions advanced to meet
 the army as far as the castle of Ur; and the supply was the
 more grateful, since it declared the fidelity of Sebastian
 and Procopius.","('Sebastian', 'PERSON'), ('Procopius', 'PERSON')"
"A solemn sacrifice was offered to the god of war, but
 the appearances of the victims threatened the most
 inauspicious events; and Julian soon discovered, by less
 ambiguous signs, that he had now reached the term of his
 prosperity.(72)
Situation and obstinacy of Julian, A.D. 363.","('Julian', 'PERSON'), ('72', 'CARDINAL'), ('Julian', 'PERSON'), ('363', 'CARDINAL')"
"A strong dyke
 was constructed to interrupt the ordinary current of the
 NaharMalcha: a flood of waters rushed impetuously into their
 new bed; and the Roman fleet, steering their triumphant
 course into the Tigris, derided the vain and ineffectual
 barriers which the Persians of Ctesiphon had erected to
 oppose their passage.","('NaharMalcha', 'NORP'), ('Roman', 'NORP'), ('Tigris', 'LOC'), ('Persians', 'NORP'), ('Ctesiphon', 'GPE')"
"A supply of twenty days' provisions
 was preserved for the use of the soldiers; and the rest of
 the magazines, with a fleet of eleven hundred vessels, which
 rode at anchor in the Tigris, were abandoned to the flames
 by the absolute command of the emperor.","('twenty days', 'DATE'), ('eleven hundred', 'CARDINAL'), ('Tigris', 'LOC')"
"A tyrant might have
 proscribed, without distinction, the lives and fortunes of
 the citizens of Antioch; and the unwarlike Syrians must have
 patiently submitted to the lust, the rapaciousness, and the cruelty of the faithful legions of Gaul.","('Antioch', 'GPE'), ('Syrians', 'NORP'), ('Gaul', 'PERSON')"
"A.D. 319-390, Ec  
Yet Antioch possessed one citizen whose genius and virtues
 might atone, in the opinion of Julian, for the vice and
 folly of his country.","('A.D. 319-390', 'DATE'), ('Antioch', 'GPE'), ('one', 'CARDINAL'), ('Julian', 'PERSON')"
A.D. 363.,"('A.D. 363', 'DATE')"
"Above 
 sixteen years after the death of Julian, the charge was
 solemnly and vehemently urged in a public oration addressed
 by Libanius to the emperor Theodosius.","('sixteen years', 'DATE'), ('Julian', 'PERSON'), ('Libanius', 'PERSON'), ('Theodosius', 'PERSON')"
"After a
 laborious march of two days (29) he halted on the third at 
 Bercea, or Aleppo, where he had the mortification of finding
 a senate almost entirely Christian, who received with cold
 and formal demonstrations of respect the eloquent sermon of
 the apostle of Paganism.","('two days', 'DATE'), ('29', 'DATE'), ('the third', 'DATE'), ('Bercea', 'GPE'), ('Aleppo', 'GPE'), ('Christian', 'NORP'), ('Paganism', 'NORP')"
