Sentence,Entities
"""I believe in one
 God, and Mahomet the apostle of God,"" is the simple and
 invariable profession of Islam.","('one', 'CARDINAL'), ('Mahomet', 'PERSON'), ('Islam', 'ORG')"
"""We are only two,""  said the trembling Abubeker.","('two', 'CARDINAL'), ('Abubeker', 'PERSON')"
"(1)
Description of Arabia","('Arabia', 'GPE')"
"(11)
 Arabia, in the opinion of the naturalist, is the genuine and
 original country of the horse; the climate most propitious, not indeed to the size, but to the spirit and swiftness, of
 that generous animal.","('Arabia', 'GPE')"
(115),"('115', 'CARDINAL')"
(128),"('128', 'CARDINAL')"
(153),"('153', 'CARDINAL')"
(159),"('159', 'CARDINAL')"
(161),"('161', 'CARDINAL')"
(168),"('168', 'CARDINAL')"
(173),"('173', 'CARDINAL')"
(178),"('178', 'CARDINAL')"
(179),"('179', 'CARDINAL')"
(37),"('37', 'CARDINAL')"
(75),"('75', 'CARDINAL')"
"A
 paper copy, in a volume of silk and gems, was brought down
 to the lowest heaven by the angel Gabriel, who, under the
 Jewish economy, had indeed been despatched on the most
 important errands; and this trusty messenger successively
 revealed the chapters and verses to the Arabian prophet.","('Gabriel', 'PERSON'), ('Jewish', 'NORP'), ('Arabian', 'NORP')"
"A cloud of
 shame and sorrow hung on the retreat of the Mussulmans, and
 their disappointment might justly accuse the failure of a
 prophet who had so often appealed to the evidence of
 success.","('Mussulmans', 'NORP')"
"A dispute had arisen,
 who, among the citizens of Mecca, was entitled to the prize
 of generosity; and a successive application was made to the
 three who were deemed most worthy of the trial.","('Mecca', 'GPE'), ('three', 'CARDINAL')"
"A doubtful truce
 restored the appearances of concord till the death of Abu
 Taleb abandoned Mahomet to the power of his enemies, at the
 moment when he was deprived of his domestic comforts by the
 loss of his faithful and generous Cadijah.","('Abu\r\n Taleb', 'PERSON'), ('Mahomet', 'PERSON'), ('Cadijah', 'NORP')"
"A familiar story is related of the benevolence of one of the
 sons of Ali.","('one', 'CARDINAL'), ('Ali', 'PERSON')"
"A family of three hundred
 persons, the pure and orthodox branch of the caliph Hassan,
 is preserved without taint or suspicion in the holy cities
 of Mecca and Medina, and still retains, after the
 revolutions of twelve centuries, the custody of the temple,
 and the sovereignty of their native land.","('three hundred', 'CARDINAL'), ('Hassan', 'PERSON'), ('Mecca', 'GPE'), ('Medina', 'GPE'), ('twelve centuries', 'DATE')"
"A fine or compensation for murder
 is familiar to the Barbarians of every age: but in Arabia
 the kinsmen of the dead are at liberty to accept the
 atonement, or to exercise with their own hands the law of
 retaliation.","('Barbarians', 'NORP'), ('Arabia', 'GPE')"
"A friendly tribe, instructed (I know
 not how) in the art of sieges, supplied him with a train of
 battering-rams and military engines, with a body of five
 hundred artificers.","('five\r\n hundred', 'CARDINAL')"
"A fundamental article of faith was
 inculcated by the consent of the learned strangers; the
 existence of one supreme God who is exalted above the powers
 of heaven and earth, but who has often revealed himself to
 mankind by the ministry of his angels and prophets, and
 whose grace or justice has interrupted, by seasonable
 miracles, the order of nature.","('one', 'CARDINAL')"
"A life of prayer and contemplation had not chilled the
 martial activity of Ali; but in a mature age, after a long
 experience of mankind, he still betrayed in his conduct the
 rashness and indiscretion of youth.","('Ali', 'PERSON')"
"A list was
 secretly transmitted from Cufa to Medina, of one hundred and
 forty thousand Moslems, who professed their attachment to
 his cause, and who were eager to draw their swords so soon
 as he should appear on the banks of the Euphrates.","('Cufa', 'GPE'), ('Medina', 'GPE'), ('one hundred and\r\n forty thousand', 'CARDINAL'), ('Moslems', 'NORP'), ('Euphrates', 'LOC')"
"A more serious and
 decent excuse may be drawn from his fidelity to Cadijah.","('Cadijah', 'PERSON')"
"A mysterious animal, the
 Borak, conveyed him from the temple of Mecca to that of
 Jerusalem: with his companion Gabriel he successively
 ascended the seven heavens, and received and repaid the
 salutations of the patriarchs, the prophets, and the angels,
 in their respective mansions.","('Borak', 'PERSON'), ('Mecca', 'GPE'), ('Jerusalem', 'GPE'), ('Gabriel', 'PERSON'), ('seven', 'CARDINAL')"
"A parent who drags his son to the altar, exhibits the most
 painful and sublime effort of fanaticism: the deed, or the
 intention, was sanctified by the example of saints and
 heroes; and the father of Mahomet himself was devoted by a
 rash vow, and hardly ransomed for the equivalent of a
 hundred camels.","('Mahomet', 'PERSON'), ('a\r\n hundred', 'CARDINAL')"
"A part of their time and industry
 was still devoted to the management of their cattle: they
 mingled, in peace and war, with their brethren of the
 desert; and the Bedoweens derived from their useful
 intercourse some supply of their wants, and some rudiments
 of art and knowledge.","('Bedoweens', 'NORP')"
"A philosophic theist might subscribe the popular
 creed of the Mahometans; (79) a creed too sublime, perhaps,
 for our present faculties.","('Mahometans', 'NORP'), ('79', 'CARDINAL')"
"A shady grove, a green pasture, a stream of fresh water, are sufficient to attract a colony of sedentary Arabs to the fortunate spots which can afford food and refreshment to themselves and their cattle, and which encourage their industry in the cultivation of the palmtree and the vine.","('Arabs', 'NORP')"
"A small portion of ground, the
 patrimony of two orphans, was acquired by gift or purchase;
 (121) on that chosen spot he built a house and a mosch, more
 venerable in their rude simplicity than the palaces and
 temples of the Assyrian caliphs.","('two', 'CARDINAL'), ('121', 'CARDINAL'), ('Assyrian', 'NORP')"
"A spacious portico
 encloses the quadrangle of the Caaba; a square chapel,
 twenty-four cubits long, twenty-three broad, and
 twenty-seven high: a door and a window admit the light; the
 double roof is supported by three pillars of wood; a spout
 (now of gold) discharges the rain-water, and the well Zemzen
 is protected by a dome from accidental pollution.","('Caaba', 'FAC'), ('twenty-four cubits', 'QUANTITY'), ('twenty-three', 'CARDINAL'), ('twenty-seven', 'CARDINAL'), ('three', 'CARDINAL'), ('Zemzen', 'GPE')"
"A special revelation dispensed him
 from the laws which he had imposed on his nation: the female
 sex, without reserve, was abandoned to his desires; and this
 singular prerogative excited the envy, rather than the
 scandal, the veneration, rather than the envy, of the devout
 Mussulmans.","('Mussulmans', 'NORP')"
"A tempest of wind, rain, and hail, overturned their tents:
 their private quarrels were fomented by an insidious
 adversary; and the Koreish, deserted by their allies, no
 longer hoped to subvert the throne, or to check the
 conquests, of their invincible exile. (134)","('Koreish', 'NORP'), ('134', 'CARDINAL')"
"A tent, or a cavern, might
 suffice for the worship of the savages, but an edifice of
 stone and clay has been erected in its place; and the art
 and power of the monarchs of the East have been confined to
 the simplicity of the original model. (47)","('East', 'LOC'), ('47', 'CARDINAL')"
"A treaty was proposed; and, in the first
 audience, the grandfather of Mahomet demanded the
 restitution of his cattle.","('first', 'ORDINAL'), ('Mahomet', 'PERSON')"
"A tumultuous anarchy
 of five days was appeased by the inauguration of Ali: his
 refusal would have provoked a general massacre.","('five days', 'DATE'), ('Ali', 'PERSON')"
"A venerable elder, to whose judgment they appealed, pronounced the sentence of their death; seven hundred Jews were dragged in chains to the market-place of the city; they descended alive into the grave prepared for their execution and burial; and the apostle beheld with an inflexible eye the slaughter of his helpless enemies.","('seven hundred', 'CARDINAL'), ('Jews', 'NORP')"
"A zealous votary of
 the idols, a mortal foe of the line of Hashem, he convened
 an assembly of the Koreishites and their allies, to decide
 the fate of the apostle.","('Hashem', 'PERSON'), ('Koreishites', 'NORP')"
"Abdallah,
 the son of Abbas, had undertaken a distant journey, and his
 foot was in the stirrup when he heard the voice of a
 suppliant,   He instantly dismounted to present the pilgrim with his camel, her rich caparison, and a purse of four thousand pieces of gold, excepting only the
 sword, either for its intrinsic value, or as the gift of an
 honoured kinsman.","('Abdallah', 'PERSON'), ('Abbas', 'PERSON'), ('four thousand', 'CARDINAL')"
"About half this length may be allowed for the middle breadth, from east to west, from Bassora to Suez, from the Persian Gulf to the Red Sea. (4)","('About half', 'CARDINAL'), ('Bassora', 'GPE'), ('Suez', 'GPE'), ('the Persian Gulf', 'LOC'), ('the Red Sea', 'LOC'), ('4', 'CARDINAL')"
"Abu Sophian himself, with only thirty or forty
 followers, conducted a wealthy caravan of a thousand camels;
 the fortune or dexterity of his march escaped the vigilance
 of Mahomet; but the chief of the Koreish was informed that
 the holy robbers were placed in ambush to await his return.","('Abu Sophian', 'PERSON'), ('only thirty or forty', 'CARDINAL'), ('a thousand', 'CARDINAL'), ('Mahomet', 'PERSON'), ('Koreish', 'PERSON')"
"Abu Sophian, the
 chief of the branch of Ommiyah, succeeded to the
 principality of the republic of Mecca.","('Abu Sophian', 'PERSON'), ('Ommiyah', 'GPE'), ('Mecca', 'GPE')"
"According as the shares of guilt or virtue shall
 preponderate, the sentence will be pronounced, and all,
 without distinction, will pass over the sharp and perilous
 bridge of the abyss; but the innocent, treading in the
 footsteps of Mahomet, will gloriously enter the gates of
 paradise, while the guilty will fall into the first and
 mildest of the seven hells.","('Mahomet', 'GPE'), ('first', 'ORDINAL'), ('seven', 'CARDINAL')"
"According to another legend, the apostle confounded in a
 national assembly the malicious challenge of the Koreish.","('Koreish', 'NORP')"
"According to the remark of Pliny, the
 Arabian tribes are equally addicted to theft and
 merchandise; the caravans that traverse the desert are
 ransomed or pillaged; and their neighbours, since the remote
 times of Job and Sesostris, (35) have been the victims of
 their rapacious spirit.","('Pliny', 'PERSON'), ('Arabian', 'NORP'), ('Job', 'EVENT'), ('Sesostris', 'PERSON'), ('35', 'CARDINAL')"
"According to the tradition of his companions, Mahomet (69) was distinguished by the beauty of his person, an outward gift which is seldom despised, except by those to whom it
 has been refused.","('Mahomet', 'PERSON'), ('69', 'DATE')"
"After a perilous and rapid journey along the sea-coast, he halted at
 Koba, two miles from the city, and made his public entry
 into Medina, sixteen days after his flight from Mecca.","('Koba', 'GPE'), ('two miles', 'QUANTITY'), ('Medina', 'GPE'), ('sixteen days', 'DATE'), ('Mecca', 'GPE')"
"After a reign of six years, fifteen hundred
 Moslems, in arms and in the field, renewed their oath of
 allegiance; and their chief repeated the assurance of
 protection till the death of the last member, or the final dissolution of the party.","('six years', 'DATE'), ('fifteen hundred', 'CARDINAL'), ('Moslems', 'NORP')"
"After a reign of two years, the aged caliph was
 summoned by the angel of death.","('two years', 'DATE')"
"After a resistance of twenty-five days, they surrendered at discretion.","('twenty-five days', 'DATE')"
"After a siege of twenty-days, the prophet
 sounded a retreat; but he retreated with a song of devout
 triumph, and affected to pray for the repentance and safety
 of the unbelieving city.","('twenty-days', 'DATE')"
"After her death, he placed her in
 the rank of the four perfect women, with the sister of
 Moses, the mother of Jesus, and Fatima, the best beloved of
 his daughters.","('four', 'CARDINAL'), ('Moses', 'PERSON'), ('Jesus', 'PERSON'), ('Fatima', 'PERSON')"
"After passing through the ranks to animate the
 troops, Ayesha had chosen her post amidst the dangers of the
 field.","('Ayesha', 'PERSON')"
"After pursuing above six hundred years the fleeting Caesars of Constantinople and Germany, I now descend, in the reign of Heraclius, on the eastern borders of the Greek monarchy.","('six hundred years', 'DATE'), ('Caesars', 'LOC'), ('Constantinople', 'GPE'), ('Germany', 'GPE'), ('Heraclius', 'GPE'), ('Greek', 'NORP')"
"After the conquest of Mecca, the sovereign of Arabia affected to prevent the hostile preparations of Heraclius; and solemnly proclaimed war against the Romans, without attempting to disguise the hardships and dangers of
 the enterprise. (147)","('Mecca', 'GPE'), ('Arabia', 'GPE'), ('Heraclius', 'GPE'), ('Romans', 'NORP'), ('147', 'CARDINAL')"
"After the reduction of the castles, the town of Chaibar submitted to the yoke.","('Chaibar', 'GPE')"
"After the reign of three caliphs, the throne was transported
 from Medina to the valley of Damascus and the banks of the
 Tigris; the holy cities were violated by impious war; Arabia
 was ruled by the rod of a subject, perhaps of a stranger;
 and the Bedoweens of the desert, awakening from their dream
 of dominion, resumed their old and solitary independence.
 (187)","('three', 'CARDINAL'), ('Medina', 'GPE'), ('Damascus', 'GPE'), ('Tigris', 'LOC'), ('Arabia', 'GPE'), ('Bedoweens', 'NORP'), ('187', 'CARDINAL')"
