Sentence,Entities
(17),"('17', 'CARDINAL')"
(19),"('19', 'CARDINAL')"
(31),"('31', 'CARDINAL')"
(37),"('37', 'CARDINAL')"
"(50)
more absolute over the property than over the person of the Germans","('Germans', 'NORP')"
(51),"('51', 'CARDINAL')"
(54),"('54', 'CARDINAL')"
"1. The great rivers which covered the Roman provinces, the Rhine and the Danube, were frequently frozen over, and capable of supporting the most enormous weights.","('1', 'CARDINAL'), ('Roman', 'NORP'), ('Rhine', 'LOC'), ('Danube', 'LOC')"
"2. The reindeer, that useful animal, from whom the savage of the North derives the best comforts of his dreary life, is of a constitution that supports, and even requires, the most intense cold.","('2', 'CARDINAL'), ('North', 'LOC')"
"A
 clime so profusely favoured by Nature could not long remain
 desert after the flood.","('Nature', 'ORG')"
"A multitude of darts, scattered  (72) 
 with incredible force, were an additional resource of the
 infantry.","('72', 'CARDINAL')"
"A ridge of hills, rising from the Danube, and
 called the Carpathian mountains, covered Germany on the side
 of Dacia or Hungary.","('Danube', 'LOC'), ('the Carpathian mountains', 'LOC'), ('Germany', 'GPE'), ('Dacia', 'GPE'), ('Hungary', 'GPE')"
"A small quantity of corn was the only produce
 exacted from the earth: the use of orchards or artificial
 meadows was unknown to the Germans; nor can we expect any
 improvements in agriculture from a people whose property
 every year experienced a general change by a new division of
 the arable lands, and who, in that strange operation,
 avoided disputes by suffering a great part of their
 territory to lie waste and without tillage.  (27)
and of the use of metals.","('Germans', 'NORP'), ('every year', 'DATE'), ('27', 'CARDINAL')"
"A solemn
 procession was occasionally celebrated in the present
 countries of Mecklenburgh and Pomerania.","('Mecklenburgh', 'GPE'), ('Pomerania', 'LOC')"
"Almost the whole of modern Germany, Denmark, Norway, Sweden,
 Finland, Livonia, Prussia, and the greater part of Poland,
 were peopled by the various tribes of one great nation,
 whose complexion, manners, and language denoted a common
 origin and preserved a striking resemblance.","('Germany', 'GPE'), ('Denmark', 'GPE'), ('Norway', 'GPE'), ('Sweden', 'GPE'), ('Finland', 'GPE'), ('Livonia', 'GPE'), ('Prussia', 'GPE'), ('Poland', 'GPE'), ('one', 'CARDINAL')"
"Although situated in the same
 parallel with the finest provinces of France and England,
 that country experiences the most rigorous cold.","('France', 'GPE'), ('England', 'GPE')"
"Although they were admitted in small numbers and with the
 strictest precaution, the example of Civilis was proper to
 convince the Romans that the danger was not imaginary, and
 that their precautions were not always sufficient.  (74)","('Civilis', 'PERSON'), ('Romans', 'NORP')"
"Among the nations who have adopted the
 Mosaic history of the world, the ark of Noah has been of the
 same use as was formerly to the Greeks and Romans the siege
 of Troy.","('Mosaic', 'NORP'), ('Noah', 'PERSON'), ('Greeks', 'NORP'), ('Romans', 'NORP'), ('Troy', 'PERSON')"
"And from
 facts thus exaggerated, an opinion was gradually
 established, and has been supported by writers of
 distinguished reputation, that, in the age of Caesar and
 Tacitus, the inhabitants of the North were far more numerous
 than they are in our days.  (38)","('Caesar', 'PERSON'), ('Tacitus', 'PERSON'), ('North', 'LOC'), ('our days', 'DATE'), ('38', 'DATE')"
"And in the same manner
 the German auxiliaries, invited into France during the civil
 wars of the sixteenth century, were allured by the promise
 of plenteous quarters in the provinces of Champagne and
 Burgundy.  (35)","('German', 'NORP'), ('France', 'GPE'), ('the sixteenth century', 'DATE'), ('Champagne', 'GPE'), ('Burgundy', 'GPE'), ('35', 'CARDINAL')"
"And yet we find that, during more
 than two hundred and fifty years that elapsed from the
 defeat of Varus to the reign of Decius, these formidable
 barbarians made few considerable attempts, and not any
 material impression on the luxurious and enslaved provinces
 of the empire.","('more\r\n than two hundred and fifty years', 'DATE'), ('Varus', 'PERSON'), ('Decius', 'PERSON')"
"And yet, when in
 calm retirement we peruse the combats described by Homer or
 Tasso, we are insensibly seduced by the fiction, and feel a
 momentary glow of martial ardour.","('Homer', 'PERSON'), ('Tasso', 'PERSON')"
"Assemblies of the people
 Civil governments, in their first institutions, are
 voluntary associations for mutual defence.","('first', 'ORDINAL')"
"Barbarians
 accustomed to place their freedom in gratifying the present
 passion, and their courage in overlooking all future
 consequences, turned away with indignant contempt from the
 remonstrance of justice and policy, and it was the practice
 to signify by a hollow murmur their dislike of such timid
 counsels.","('Barbarians', 'NORP')"
"But
 Tacitus asserts, as a well-known fact, that the Germans, in
 his time, had no Cities;   (20) and that they affected to
 despise the works of Roman industry as places of confinement
 rather than of security.   (21)","('Tacitus', 'PERSON'), ('Germans', 'NORP'), ('20', 'CARDINAL'), ('Roman', 'NORP'), ('21', 'CARDINAL')"
But I shall select two remarkable circumstances of a less equivocal nature.,"('two', 'CARDINAL')"
"But a state of freedom and barbarism, the season of civil
 commotions, or the situation of petty republics,  (87) raises
 almost every member of the community into action, and
 consequently into notice.","('87', 'CARDINAL')"
"But all this well-laboured system of German antiquities is
 annihilated by a single fact, too well attested to admit of
 any doubt, and of too decisive a nature to leave room for
 any reply.","('German', 'NORP')"
"But as the barbarians
 poured forth their whole souls on the first onset, they knew
 not how to rally or to retire.","('first', 'ORDINAL')"
"But the Germans, who carried with them what they
 most valued, their arms, their cattle, and their women,
 cheerfully abandoned the vast silence of their woods for the
 unbounded hopes of plunder and conquest.","('Germans', 'NORP')"
"But the rude tribes of Germany, alike
 destitute of both those valuable metals, were reduced slowly
 to acquire, by their unassisted strength, the possession of
 the one as well as the other.","('Germany', 'GPE')"
"But the warlike Germans, who first
 resisted, then invaded, and at length overturned, the
 western monarchy of Rome, will occupy a much more important
 place in this history, and possess a stronger, and, if we
 may use the expression, a more domestic, claim to our
 attention and regard.","('Germans', 'NORP'), ('first', 'ORDINAL'), ('Rome', 'GPE')"
"But those who
 had tasted the rich wines of Italy, and afterwards of Gaul,
 sighed for that more delicious species of intoxication.","('Italy', 'GPE'), ('Gaul', 'PERSON')"
"Canada, at this day, is an exact
 picture of ancient Germany.","('Canada', 'GPE'), ('this day', 'DATE'), ('Germany', 'GPE')"
"Causes which checked the progress of the Germans
 Such was the situation, and such were the manners, of the
 ancient Germans.","('Germans', 'NORP'), ('Germans', 'NORP')"
"Civil dissentions of Germany
 II.","('Germany', 'GPE')"
"Conscious pride
 taught the German females to suppress every tender emotion
 that stood in competition with honour, and the first honour
 of the sex has ever been that of chastity.","('German', 'NORP'), ('first', 'ORDINAL')"
Distinction of the German tribes,"('German', 'NORP')"
"During
 the civil wars that followed the death of Nero, that artful
 and intrepid Batavian, whom his enemies condescended to
 compare with Hannibal and Sertorius,   (75) formed a great
 design of freedom and ambition.","('Nero', 'PERSON'), ('Batavian', 'PERSON'), ('Hannibal', 'PERSON'), ('Sertorius', 'PERSON'), ('75', 'DATE')"
"During her
 progress the sound of war was hushed, quarrels were
 suspended, arms laid aside, and the restless Germans had an
 opportunity of tasting the blessings of peace and harmony.
   (65)","('Germans', 'NORP'), ('65', 'CARDINAL')"
"Eight Batavian cohorts,
 renowned in the wars of Britain and Italy, repaired to his
 standard.","('Eight', 'CARDINAL'), ('Batavian', 'NORP'), ('Britain', 'GPE'), ('Italy', 'GPE')"
"Every quarrel among the
 Germans was fomented by the intrigues of Rome; and every
 plan of union and public good was defeated by the stronger
 bias of private jealousy and interest.  (81)","('Germans', 'NORP'), ('Rome', 'GPE')"
"Extent of Germany
 Ancient Germany, excluding from its independent limits the
 province westward of the Rhine, which had submitted to the
 Roman yoke, extended itself over a third part of Europe.","('Germany', 'GPE'), ('Germany', 'GPE'), ('Rhine', 'LOC'), ('Roman', 'NORP'), ('third', 'ORDINAL'), ('Europe', 'LOC')"
"Fainting armies of Germans have
 more than once been driven back upon the enemy by the
 generous despair of the women who dreaded death much less
 than servitude.","('Germans', 'NORP')"
"For the Germans always met in arms, and it
 was constantly to be dreaded lest an irregular multitude,
 inflamed with faction and strong liquors, should use those
 arms to enforce, as well as to declare, their furious
 resolves.","('Germans', 'NORP')"
