Sentence,Entities
"(1) But it 
 would soon appear that the vain attempt to blend such
 discordant colours, and to reconcile such inconsistent
 qualities, must produce a figure monstrous rather than
 human, unless it is viewed in its proper and distinct lights
 by a careful separation of the different periods of the
 reign of Constantine.","('Constantine', 'PERSON')"
"(15) In the midst of 
 the festival the unfortunate Crispus was apprehended by
 order of the emperor, who laid aside the tenderness of a
 father without assuming the equity of a judge.","('Crispus', 'PERSON')"
"(3) In the life of Augustus we behold the tyrant of the republic converted almost by imperceptible degrees into the father of his country and of
 human kind.","('Augustus', 'PERSON')"
(34),"('34', 'CARDINAL')"
(4),"('4', 'CARDINAL')"
(43),"('43', 'CARDINAL')"
(44),"('44', 'CARDINAL')"
(51),"('51', 'CARDINAL')"
"(55) 
 If any credit can be given to this marvellous tale, which
 seems, however, to be countenanced by the manners of the
 people and by the extraordinary duration of his reign, we
 must admire not only the fortune but the genius of Sapor.","('55', 'CARDINAL'), ('Sapor', 'PERSON')"
"(76)
Deposes Vetranio, A.D. 350, Dec. 25.","('350', 'CARDINAL'), ('Dec. 25', 'DATE')"
"A more
 numerous band retired beyond the Carpathian mountains, among
 the Quadi, their German allies, and were easily admitted to
 share a superfluous waste of uncultivated land.","('Carpathian', 'NORP'), ('Quadi', 'NORP'), ('German', 'NORP')"
"A perpetual exemption from
 all duties was stipulated for their vessels which traded to
 the ports of the Black Sea.","('the Black Sea', 'LOC')"
"A royal bed, on which the queen lay in state,
 was exhibited in the midst of the palace; the diadem was
 placed on the spot which might be supposed to conceal the
 future heir of Artaxerxes, and the prostrate satraps adored
 the majesty of their invisible and insensible sovereign.","('Artaxerxes', 'NORP')"
"A tale so moral and so interesting would deserve to be supported by less exceptionable
 authority; but if we consult the more ancient and authentic
 writers, they will inform us that the repentance of
 Constantine was manifested only in acts of blood and
 revenge, and that he atoned for the murder of an innocent
 son by the execution, perhaps, of a guilty wife.","('Constantine', 'PERSON')"
"A treble enclosure of
 brick walls was defended by a deep ditch; (65) and the 
 intrepid resistance of Count Lucilianus and his garrison was
 seconded by the desperate courage of the people.","('65', 'CARDINAL'), ('Lucilianus', 'PERSON')"
"A.D. 324, October 10.","('A.D. 324', 'DATE'), ('October 10', 'DATE')"
"A.D. 325, October 1","('A.D. 325', 'DATE'), ('October 1', 'DATE')"
A.D. 350..,"('A.D. 350', 'DATE')"
