Sentence,Entities
"""It is our pleasure  (such is the Imperial style)   that all the nations which are governed by our clemency and moderation should steadfastly adhere to the religion which was taught by St. Peter to the Romans, which faithful tradition has preserved, and which is now professed by the pontiff Damasus, and by Peter, bishop of Alexandria, a man of apostolic holiness.","('Imperial', 'NORP'), ('St. Peter', 'PERSON'), ('Romans', 'NORP'), ('Damasus', 'PERSON'), ('Peter', 'PERSON'), ('Alexandria', 'GPE')"
"""My authority,"" replied Arbogastes, with insulting coolness,   ""does not depend on the smile or the frown of a monarch;"" 
 and he contemptuously threw the paper on the ground.","('Arbogastes', 'PERSON')"
"""The prince,"" says Montesquieu,   ""who is actuated by the
 hopes and fears of religion, may be compared to a lion, docile only to the voice, and tractable to the hand, of his keeper."" (100)","('Montesquieu', 'PERSON'), ('100', 'CARDINAL')"
"""You have
 imitated David in his crime, imitate then his repentance,""  
 was the reply of the undaunted Ambrose.","('David', 'PERSON'), ('Ambrose', 'PERSON')"
(1),"('1', 'CARDINAL')"
(11),"('11', 'CARDINAL')"
(114),"('114', 'CARDINAL')"
"(13) The emperor, in 
 his peaceful residence of Paris, was alarmed by their
 hostile approach, and the darts which he idly wasted on
 lions and bears might have been employed more honourably
 against the rebels.","('Paris', 'GPE')"
"(15) These executions might be necessary to the 
 public safety, but the successful usurper, whose power was
 acknowledged by all the provinces of the West, had the merit
 and the satisfaction of boasting that, except those who had
 perished by the chance of war, his triumph was not stained
 by the blood of the Romans.(16)
Treaty of peace between Maximus and Theodosius, A.D. 383-387.","('15', 'CARDINAL'), ('West', 'LOC'), ('Romans', 'NORP'), ('16)\r\nTreaty', 'LAW'), ('Maximus', 'PERSON'), ('Theodosius', 'PERSON'), ('383-387', 'CARDINAL')"
(19),"('19', 'CARDINAL')"
(3),"('3', 'CARDINAL')"
"(38) In the East, A.D. 381, January 10.","('381', 'CARDINAL'), ('January 10', 'DATE')"
"(44)
Retreat of Gregory Nazianzen, A.D. 381.","('44', 'CARDINAL'), ('Gregory Nazianzen', 'PERSON'), ('381', 'CARDINAL')"
"(5) Among the various arts which had exercised the youth 
 of Gratian, he had applied himself, with singular
 inclination and success, to manage the horse, to draw the
 bow, and to dart the javelin; and these qualifications,
 which might be useful to a soldier, were prostituted to the
 viler purposes of hunting.","('Gratian', 'PERSON')"
"A bishop, Amphilochius of Iconium, approached the throne, and, after saluting with due reverence the person of his sovereign, he accosted the royal youth with the same familiar tenderness which he might have used towards a
 plebeian child.","('Amphilochius', 'PERSON'), ('Iconium', 'GPE')"
"A body of the Alani was received into
 the military and domestic service of the palace, and the
 admirable skill which they were accustomed to display in the
 unbounded plains of Scythia was exercised on a more narrow
 theatre in the parks and enclosures of Gaul.","('Alani', 'PERSON'), ('Scythia', 'GPE'), ('Gaul', 'LOC')"
"A character 
 thus accomplished might almost excuse the extravagant
 supposition of the orator Pacatus that, if the elder Brutus
 could be permitted to revisit the earth, the stern
 republican would abjure, at the feet of Theodosius, his
 hatred of kings; and ingenuously confess that such a monarch
 was the most faithful guardian of the happiness and dignity
 of the Roman people.(81)
Faults of Theodosius.","('Pacatus', 'PERSON'), ('Brutus', 'PERSON'), ('republican', 'NORP'), ('Theodosius', 'PERSON'), ('Roman', 'NORP'), ('81', 'CARDINAL'), ('Theodosius', 'PERSON')"
"A few days after this extraordinary quarrel, in which he had exposed his resentment and his weakness, the unfortunate Valentinian was found strangled in his apartment, and some pains were employed to disguise the manifest guilt of Arbogastes, and to persuade the world that the death of the young emperor had been the voluntary effect of his own despair. (106)","('A few days', 'DATE'), ('Valentinian', 'PERSON'), ('Arbogastes', 'NORP'), ('106', 'CARDINAL')"
"A final and unanimous sentence was pronounced to
 ratify the equal Deity of the Holy Ghost: the mysterious
 doctrine has been received by all the nations, and all the
 churches, of the Christian world; and their grateful
 reverence has assigned to the bishops of Theodosius the
 second rank among the general councils.(42)","('the Holy Ghost', 'PERSON'), ('Christian', 'NORP'), ('Theodosius', 'PERSON'), ('second', 'ORDINAL'), ('42', 'CARDINAL')"
"A fine of ten pounds of gold
 (above four hundred pounds sterling) was imposed on every
 person who should dare to confer, or receive, or promote, an
 heretical ordination: and it was reasonably expected that,
 if the race of pastors could be extinguished, their helpless
 flocks would be compelled, by ignorance and hunger, to
 return within the pale of the Catholic church.","('ten pounds', 'QUANTITY'), ('four hundred pounds', 'QUANTITY'), ('Catholic', 'NORP')"
"A fine of two hundred pounds of gold was imposed
 on the corporate body of merchants and manufacturers: an
 order was signified, in the name of the emperor, to all the
 officers and inferior servants of the courts of justice,
 that, during the continuance of the public disorders, they
 should strictly confine themselves to their houses: and the
 ministers of Valentinian imprudently confessed that the most
 respectable part of the citizens of Milan was attached to
 the cause of their archbishop.","('two hundred pounds', 'QUANTITY'), ('Valentinian', 'NORP'), ('Milan', 'GPE')"
"A foreign
 merchant, who had probably no concern in his murder, offered
 his own life and all his wealth to supply the place of one
 of his two sons; but while the father hesitated with equal
 tenderness, while he was doubtful to choose, and unwilling
 to condemn, the soldiers determined his suspense by plunging
 their daggers at the same moment into the breasts of the
 defenceless youths.","('one', 'CARDINAL'), ('two', 'CARDINAL')"
"A free and general pardon was granted to the city and citizens of Antioch; the prison-doors were thrown open; the senators, who despaired of their lives, recovered the possession of their houses and estates; and the capital of the East was restored to the enjoyment of her ancient dignity and splendour.","('Antioch', 'GPE'), ('East', 'LOC')"
"A large body of Goths had marched to occupy the Basilica, which was the object of the dispute: and it might be expected from the Arian principles and barbarous manners of these foreign mercenaries, that they would not entertain any scruples in the execution of the most sanguinary orders.","('Goths', 'NORP'), ('Basilica', 'FAC'), ('Arian', 'NORP')"
"A long period of calamity or decay
 must have checked the industry and diminished the wealth of
 the people; and their profuse luxury must have been the
 result of that indolent despair which enjoys the present
 hour and declines the thoughts of futurity.","('the present\r\n hour', 'TIME')"
"A loud and licentious murmur was echoed
 through the camps and garrisons of the West; and as the mild
 indolence of Gratian neglected to extinguish the first
 symptoms of discontent, the want of love and respect was not
 supplied by the influence of fear.","('West', 'LOC'), ('Gratian', 'NORP'), ('first', 'ORDINAL')"
A more attentive view of the life of Gratian may perhaps suggest the true cause of the disappointment of the public hopes.,"('Gratian', 'PERSON')"
"A powerful
 fleet was equipped in the harbours of Greece and Epirus,
 with an apparent design that, as soon as the passage had
 been opened by a naval victory, Valentinian and his mother
 should land in Italy, proceed without delay to Rome, and
 occupy the majestic seat of religion and empire.","('Greece', 'GPE'), ('Epirus', 'LOC'), ('Valentinian', 'PERSON'), ('Italy', 'GPE'), ('Rome', 'GPE')"
"A sentence of easy and honourable banishment was pronounced, which enjoined Ambrose to depart from Milan without delay, whilst it permitted him to choose the place of his exile and the number of his companions.","('Ambrose', 'PERSON'), ('Milan', 'GPE')"
"A stranger, who assumed the name of Maximus(34) and the cloak of a Cynic philosopher, insinuated himself into the confidence of Gregory, deceived and abused his
 favourable opinion, and, forming a secret connection with
 some bishops of Egypt, attempted, by a clandestine
 ordination, to supplant his patron in the episcopal seat of
 Constantinople.","('Maximus', 'PERSON'), ('34', 'DATE'), ('Cynic', 'NORP'), ('Gregory', 'PERSON'), ('Egypt', 'GPE'), ('Constantinople', 'GPE')"
"A thousand new statues arose to the clemency of Theodosius; the applause of his subjects was ratified by the approbation of his own heart; and the emperor confessed
 that, if the exercise of justice is the most important duty, the indulgence of mercy is the most exquisite pleasure of a sovereign.(90)
Sedition and massacre of Thessalonica, A.D. 390.","('A thousand', 'CARDINAL'), ('Theodosius', 'PERSON'), ('Thessalonica', 'GPE'), ('A.D. 390', 'DATE')"
"A vessel was secretly provided to transport the Imperial family; they embarked with precipitation in one of the obscure harbours of Venetia, or Istria; traversed the whole extent of the Hadriatic and Ionian seas, turned the
 extreme promontory of Peloponnesus; and, after a long but successful navigation, reposed themselves in the port of Thessalonica.","('Imperial', 'NORP'), ('one', 'CARDINAL'), ('Venetia', 'LOC'), ('Istria', 'LOC'), ('Hadriatic', 'LOC'), ('Ionian', 'NORP'), ('Peloponnesus', 'LOC'), ('Thessalonica', 'GPE')"
"A.D. 383, August 25.","('A.D. 383', 'DATE'), ('August 25', 'DATE')"
A.D. 386.,"('A.D. 386', 'DATE')"
"About six weeks afterwards, Theodosius declared his resolution of expelling from all the churches of his dominions the bishops
 and their clergy who should obstinately refuse to believe, or at least to profess, the doctrine of the council of Nice.","('About six weeks', 'DATE'), ('Theodosius', 'PERSON'), ('Nice', 'GPE')"
Accident is commonly the parent of disorder: the seeds of rebellion happened to fall on a soil which was supposed to be more fruitful than any other in tyrants and usurpers;(8)Revolt of Maximus in Britain the legions of that sequestered island had been long famous for a spirit of presumption and arrogance;(9) and the name of Maximus was proclaimed by the tumultuary but unanimous voice both of the soldiers and of the provincials.,"('Britain', 'GPE'), ('Maximus', 'PERSON')"
"According to 
 the duty of his office, the governor of the province
 despatched a faithful narrative of the whole transaction,
 while the trembling citizens intrusted the confession of
 their crime and the assurances of their repentance to the
 zeal of Flavian their bishop, and to the eloquence of the
 senator Hilarius, the friend, and most probably the
 disciple, of Libanius, (85) whose genius on this melancholy 
 occasion was not useless to his country.","('Flavian', 'NORP'), ('Hilarius', 'PERSON'), ('Libanius', 'PERSON'), ('85', 'DATE')"
