Sentence,Entities
(11),"('11', 'CARDINAL')"
(112),"('112', 'CARDINAL')"
(113),"('113', 'CARDINAL')"
(118),"('118', 'CARDINAL')"
(12),"('12', 'CARDINAL')"
(131),"('131', 'CARDINAL')"
(133),"('133', 'CARDINAL')"
(141),"('141', 'CARDINAL')"
(143),"('143', 'CARDINAL')"
(162),"('162', 'CARDINAL')"
(163),"('163', 'CARDINAL')"
(175),"('175', 'CARDINAL')"
(18),"('18', 'CARDINAL')"
(188),"('188', 'CARDINAL')"
(19),"('19', 'CARDINAL')"
(191),"('191', 'CARDINAL')"
(196),"('196', 'CARDINAL')"
(3),"('3', 'CARDINAL')"
(4),"('4', 'CARDINAL')"
(40),"('40', 'CARDINAL')"
(41),"('41', 'CARDINAL')"
(43),"('43', 'CARDINAL')"
(5),"('5', 'CARDINAL')"
(55),"('55', 'CARDINAL')"
(75),"('75', 'CARDINAL')"
1,"('1', 'CARDINAL')"
2,"('2', 'CARDINAL')"
"A
 regular series was prepared of all the moral and physical
 evils which can afflict a flourishing nation; intestine
 discord, and the invasion of the fiercest barbarians from
 the unknown regions of the North; pestilence and famine,
 comets and eclipses, earthquakes and inundations. (68)","('North', 'LOC')"
"A 
 generous intercourse of charity united the most distant
 provinces, and the smaller congregations were cheerfully
 assisted by the alms of their more opulent brethren. (142)","('142', 'CARDINAL')"
"A charitable hope might perhaps be indulged
 in favour of Socrates, or some other sages of antiquity, who
 had consulted the light of reason before that of the Gospel
 had arisen. (71)","('Socrates', 'PERSON'), ('Gospel', 'ORG')"
"A distinct chapter of Pliny
 (198) is designed for eclipses of an extraordinary nature and 
 unusual duration; but he contents himself with describing
 the singular defect of light which followed the murder of
 Caesar, when, during the greatest part of a year, the orb of
 the sun appeared pale and without splendour.","('Pliny', 'PERSON'), ('198', 'CARDINAL'), ('Caesar', 'PERSON'), ('a year', 'DATE')"
"A few of these, among 
 whom we may reckon the learned Origen, judged it the most
 prudent to disarm the tempter. (96)","('Origen', 'PERSON')"
"A garden of Eden, with the
 amusements of the pastoral life, was no longer suited to the
 advanced state of society which prevailed under the Roman
 empire.","('Eden', 'LOC'), ('Roman', 'NORP')"
"A larger acquaintance with mankind
 extended their knowledge without correcting their
 prejudices; and whenever the God of Israel acquired any new
 votaries, he was much more indebted to the inconstant humour
 of polytheism than to the active zeal of his own
 missionaries.","('Israel', 'GPE')"
"A milder sentiment was 
 embraced, in practice as well as in theory, by the purest
 and most respectable of the Christian churches. (146)","('Christian', 'NORP'), ('146', 'CARDINAL')"
"A more careful inquiry soon demonstrated that the offenders did not exceed seven thousand; a number indeed sufficiently
 alarming when considered as the object of public justice.
 (168)","('seven thousand', 'CARDINAL')"
"A mysterious prophecy, which still forms a 
 part of the sacred canon, but which was thought to favour
 the exploded sentiment, has very narrowly escaped the
 proscription of the church. (67)
Conflagration of Rome and of the world 
 Whilst the happiness and glory of a temporal reign were
 promised to the disciples of Christ, the most dreadful
 calamities were denounced against an unbelieving world.","('Rome', 'GPE'), ('Christ', 'PERSON')"
"A noble Grecian
 had rested on this important ground the whole controversy,
 and promised Theophilus, bishop of Antioch, that, if he
 could be gratified with the sight of a single person who had
 been actually raised from the dead, he would immediately
 embrace the Christian religion.","('Grecian', 'NORP'), ('Theophilus', 'PERSON'), ('Antioch', 'GPE'), ('Christian', 'NORP')"
"A perpetual stream of strangers and provincials flowed into
 the capacious bosom of Rome.","('Rome', 'GPE')"
"A regard for the public tranquillity, which
 would so frequently have been interrupted by annual or by
 occasional elections, induced the primitive Christians to
 constitute an honourable and perpetual magistracy, and to
 choose one of the wisest and most holy among their
 presbyters to execute, during his life, the duties of their
 ecclesiastical governor.","('annual', 'DATE'), ('Christians', 'NORP'), ('one', 'CARDINAL')"
"A regular correspondence was
 established between the provincial councils, which mutually
 communicated and approved their respective proceedings; and
 the catholic church soon assumed the form, and acquired the
 strength, of a great foederative republic. (116)","('116', 'CARDINAL')"
"A separate society, which attacked the established
 religion of the empire, was obliged to adopt some form of
 internal policy, and to appoint a sufficient number of
 ministers, intrusted not only with the spiritual functions,
 but even with the temporal direction of the Christian
 commonwealth.","('Christian', 'NORP')"
