Sentence,Entities
"""Bareheaded, their hands crossed on their breast, they stood
 with downcast looks in the presence of the tribune; and they  trembled, good God, how they trembled!"" (41)","('41', 'CARDINAL')"
"""If the one advances,"" says a servant of Gregory,  ""the other retreats; the one appears an animal fearful of the land, the other a
 creature apprehensive of the water.","('one', 'CARDINAL'), ('Gregory', 'PERSON')"
"""If you are spared,"" said the tribune,  ""by the
 mercy of the Romans, will you not promise to support the good estate with your lives and fortunes?""","('Romans', 'NORP')"
(44),"('44', 'CARDINAL')"
(45),"('45', 'CARDINAL')"
(55),"('55', 'CARDINAL')"
(April 9.),"('April 9', 'DATE')"
"(Sept. 21.) and proceeded to a new election of Robert of Geneva, Clement the Seventh, whom they announced to the nations as the true and rightful vicar of Christ.","('Sept. 21', 'DATE'), ('Robert', 'PERSON'), ('Geneva', 'GPE'), ('Clement', 'PERSON'), ('the Seventh', 'DATE'), ('Christ', 'PERSON')"
"A Christian, a philosopher, (93) and a patriot, will be equally scandalized by the temporal kingdom of the clergy; and the local majesty of Rome, the remembrance of her consuls and triumphs, may seem to embitter the sense, and aggravate the shame, of her slavery.","('Christian', 'NORP'), ('93', 'DATE'), ('Rome', 'GPE')"
"A banquet, such as the Caesars had given, was prepared for the Romans.","('Caesars', 'PERSON'), ('Romans', 'NORP')"
"A citizen has remarked, with pride and pleasure, that the king of the Romans, after passing with a slight salute the cardinals and prelates who met him at the gate, distinguished the dress and person of the senator of Rome; and in this last farewell, the pageants of the empire and the republic were clasped in a friendly embrace.","('Romans', 'NORP'), ('Rome', 'GPE')"
"A civil war exhausted his treasures, and the patience of the city: the Colonna maintained their hostile station at Palestrina; and his mercenaries soon despised a leader whose ignorance and
 fear were envious of all subordinate merit.","('Colonna', 'PERSON'), ('Palestrina', 'GPE')"
"A false application of
 the name and maxims of antiquity was the source of the hopes
 and disappointments of Petrarch; yet he could not overlook
 the difference of times and characters; the immeasurable
 distance between the first Caesars and a Bohemian prince,
 who by the favour of the clergy had been elected the titular
 head of the German aristocracy.","('Petrarch', 'PERSON'), ('first', 'ORDINAL'), ('Caesars', 'PERSON'), ('Bohemian', 'NORP'), ('German', 'NORP')"
"A free and vigorous opposition
 was formed in the city; and when the tribune proposed in the
 public council (47) to impose a new tax, and to regulate the
 government of Perugia, thirty-nine members voted against his
 measures; repelled the injurious charge of treachery and
 corruption; and urged him to prove, by their forcible
 exclusion, that if the populace adhered to his cause, it was
 already disclaimed by the most respectable citizens.","('47', 'CARDINAL'), ('Perugia', 'GPE'), ('thirty-nine', 'CARDINAL')"
"A general and peremptory order was
 issued from the Capitol to all the nobles, that they should
 peaceably retire to their estates: they obeyed; and their
 departure secured the tranquillity of the free and obedient
 citizens of Rome.","('Capitol', 'ORG'), ('Rome', 'GPE')"
