Sentence,Entities
(1),"('1', 'CARDINAL')"
(17),"('17', 'CARDINAL')"
(18),"('18', 'CARDINAL')"
(44),"('44', 'CARDINAL')"
(54),"('54', 'CARDINAL')"
(6),"('6', 'CARDINAL')"
1. The glory of the Bulgarians (13) was confined to a narrow scope both of time and place.,"('1', 'CARDINAL'), ('Bulgarians', 'NORP'), ('13', 'CARDINAL')"
"2. When the black swarm of Hungarians first hung over
 Europe, above nine hundred years after the Christian aera,
 they were mistaken by fear and superstition for the Gog and
 Magog of the Scriptures, the signs and forerunners of the
 end of the world.","('2', 'CARDINAL'), ('Hungarians', 'NORP'), ('first', 'ORDINAL'), ('Europe', 'LOC'), ('nine hundred years', 'DATE'), ('Christian', 'NORP'), ('Gog', 'PERSON'), ('Magog', 'PERSON'), ('Scriptures', 'WORK_OF_ART')"
"3. The name of RUSSIANS (43) was first divulged, in the ninth century, by an embassy of Theophilus, emperor of the
 East, to the emperor of the West, Lewis, the son of
 Charlemagne.","('3', 'CARDINAL'), ('RUSSIANS', 'PERSON'), ('43', 'CARDINAL'), ('first', 'ORDINAL'), ('the ninth century', 'DATE'), ('Theophilus', 'PERSON'), ('East', 'LOC'), ('West', 'LOC'), ('Lewis', 'PERSON'), ('Charlemagne', 'PERSON')"
"A closer examination
 detected their origin: they were the brethren of the Swedes
 and Normans, whose name was already odious and formidable in
 France; and it might justly be apprehended, that these
 Russian strangers were not the messengers of peace, but the
 emissaries of war.","('Swedes', 'NORP'), ('Normans', 'NORP'), ('France', 'GPE'), ('Russian', 'NORP')"
A composition was offered and accepted for the head of each Italian subject; and ten bushels of silver were poured forth in the Turkish camp.,"('Italian', 'NORP'), ('ten bushels', 'QUANTITY'), ('Turkish', 'NORP')"
"A female, perhaps of the basest
 origin, who could revenge the death, and assume the sceptre,
 of her husband Igor, must have been endowed with those
 active virtues which command the fear and obedience of
 Barbarians.","('Igor', 'PERSON'), ('Barbarians', 'NORP')"
"A fleet, under the command of his son, was
 repulsed at the entrance of the Bosphorus by the same
 artificial flames.","('Bosphorus', 'LOC')"
"A king of the ancient Bulgaria (3), bequeathed to his five sons a last lesson of moderation and concord.","('Bulgaria', 'GPE'), ('3', 'CARDINAL'), ('five', 'CARDINAL')"
"A laudable ambition
 excited the monks both of Germany and Greece, to visit the
 tents and huts of the Barbarians: poverty, hardships, and
 dangers, were the lot of the first missionaries; their
 courage was active and patient; their motive pure and
 meritorious; their present reward consisted in the testimony
 of their conscience and the respect of a grateful people;
 but the fruitful harvest of their toils was inherited and
 enjoyed by the proud and wealthy prelates of succeeding
 times.","('Germany', 'GPE'), ('Greece', 'GPE'), ('Barbarians', 'NORP'), ('first', 'ORDINAL')"
