Sentence,Entities
(11),"('11', 'CARDINAL')"
(113),"('113', 'CARDINAL')"
(118),"('118', 'CARDINAL')"
(13),"('13', 'CARDINAL')"
(132),"('132', 'CARDINAL')"
(138),"('138', 'CARDINAL')"
(149),"('149', 'CARDINAL')"
(2),"('2', 'CARDINAL')"
(3),"('3', 'CARDINAL')"
(43),"('43', 'CARDINAL')"
"A
 rumor was spread among the Christians, that the daughter of
 Theon was the only obstacle to the reconciliation of the
 praefect and the archbishop; and that obstacle was speedily
 removed.","('Christians', 'NORP'), ('Theon', 'PERSON')"
"A Jesuit, Alphonso Mendez, the
 Catholic patriarch of Aethiopia, accepted, in the name of Urban VIII., the homage and abjuration of the penitent.","('Jesuit', 'NORP'), ('Alphonso Mendez', 'PERSON'), ('Catholic', 'NORP'), ('Aethiopia', 'GPE'), ('Urban VIII', 'WORK_OF_ART')"
"A bishop of Treves, secure beyond the limits of his
 power, addressed the monarch of the East in the language of
 authority and affection.","('Treves', 'GPE'), ('East', 'LOC')"
"A bishop was named as the inquisitor of
 the faith, and his diligence soon discovered, in the court
 and city, the magistrates, lawyers, physicians, and
 sophists, who still cherished the superstition of the
 Greeks.","('Greeks', 'NORP')"
"A charge was instantly sounded by the successor of
 the apostles; the soldiers waded to their knees in blood;
 and two hundred thousand Christians are said to have fallen
 by the sword: an incredible account, even if it be extended
 from the slaughter of a day to the eighteen years of the
 reign of Apollinaris.","('two hundred thousand', 'CARDINAL'), ('Christians', 'NORP'), ('a day to the eighteen years of the\r\n reign of Apollinaris', 'DATE')"
"A generous effort might have edeemed the religion and liberty of Egypt, and her six hundred monasteries might have poured forth their myriads of holy warriors, for whom death should have no terrors, since life had no comfort or delight.","('Egypt', 'GPE'), ('six hundred', 'CARDINAL')"
"A laudable regard for the honor of the first proselyte
 has countenanced the belief, the hope, the wish, that the
 Ebionites, or at least the Nazarenes, were distinguished
 only by their obstinate perseverance in the practice of the
 Mosaic rites.","('first', 'ORDINAL'), ('Ebionites', 'NORP'), ('Nazarenes', 'NORP'), ('Mosaic', 'NORP')"
"A metaphysical
 religion may appear too refined for the capacity of the
 negro race: yet a black or a parrot might be taught to
 repeat the words of the Chalcedonian or Monophysite creed.","('Chalcedonian', 'NORP'), ('Monophysite', 'NORP')"
"A more
 substantial, though less simple, hypothesis, was contrived
 by Cerinthus of Asia, (14) who dared to oppose the last of
 the apostles.","('Cerinthus of Asia', 'ORG'), ('14', 'CARDINAL')"
"A more important conquest still remained, of the patriarch,
 the oracle and leader of the Egyptian church.","('Egyptian', 'NORP')"
"A mystery, which had
 long floated in the looseness of popular belief, was defined
 by his perverse diligence in a technical form; and he first
 proclaimed the memorable words, ""One incarnate nature of
 Christ,"" which are still reechoed with hostile clamors in
 the churches of Asia, Egypt, and Aethiopia.","('first', 'ORDINAL'), ('One', 'CARDINAL'), ('Asia', 'LOC'), ('Egypt', 'GPE'), ('Aethiopia', 'GPE')"
A perpetual succession of patriarchs arose from the ashes of Theodosius; and the Monophysite churches of Syria and Egypt were united by the name of Jacobites and the communion of the faith.,"('Theodosius', 'GPE'), ('Monophysite', 'NORP'), ('Syria', 'GPE'), ('Egypt', 'GPE'), ('Jacobites', 'PERSON')"
"A quarter of a mile from
 the Thracian Bosphorus, the church of St. Euphemia was built
 on the summit of a gentle though lofty ascent: the triple
 structure was celebrated as a prodigy of art, and the
 boundless prospect of the land and sea might have raised the
 mind of a sectary to the contemplation of the God of the
 universe.","('A quarter of a mile', 'QUANTITY'), ('the Thracian Bosphorus', 'FAC'), ('St. Euphemia', 'FAC')"
"A secret remnant of Pagans of Pagans, who still lurked in the most
 refined and most rustic conditions of mankind, excited the
 indignation of the Christians, who were perhaps unwilling
 that any strangers should be the witnesses of their
 intestine quarrels.","('Pagans', 'NORP'), ('Pagans', 'NORP'), ('Christians', 'NORP')"
"A sentiment or
 fear or indignation prompted him, while it was yet time, to
 affect the glory of a voluntary abdication: (52) his wish, or
 at least his request, was readily granted; he was conducted
 with honor from Ephesus to his old monastery of Antioch;
 and, after a short pause, his successors, Maximian and
 Proclus, were acknowledged as the lawful bishops of
 Constantinople.","('52', 'CARDINAL'), ('Ephesus', 'PERSON'), ('Antioch', 'GPE'), ('Maximian', 'PERSON'), ('Proclus', 'PERSON'), ('Constantinople', 'GPE')"
"A similar oath was repeated by his son, his brother, the clergy, the nobles, and even the ladies of the court: the Latin patriarch was invested with honors and wealth; and his missionaries erected their churches or citadels in the most convenient stations of the empire.","('Latin', 'NORP')"
"A similar or a less cruel mode of persecution
 soon converted the unresisting subjects of the plain, while
 the glorious title of Mardaites, (135) or rebels, was bravely
 maintained by the hardy natives of Mount Libanus.","('Mardaites', 'PERSON'), ('135', 'CARDINAL'), ('Mount Libanus', 'LOC')"
"A solemn anathema is pronounced against Nestorius
 and Eutyches; against all heretics by whom Christ is
 divided, or confounded, or reduced to a phantom.","('Nestorius', 'NORP'), ('Eutyches', 'NORP'), ('Christ', 'PERSON')"
"A tardy
 repentance was allowed to expiate the guilt or error of the
 accomplices of Dioscorus: but their sins were accumulated on
 his head; he neither asked nor hoped for pardon, and the
 moderation of those who pleaded for a general amnesty was
 drowned in the prevailing cry of victory and revenge.","('Dioscorus', 'PERSON')"
"A thousand years were now elapsed since Egypt had ceased to be a kingdom, since the conquerors of Asia and Europe had trampled on the ready necks of a people, whose ancient wisdom and power ascend beyond the records of history.","('A thousand years', 'DATE'), ('Egypt', 'GPE'), ('Asia', 'LOC'), ('Europe', 'LOC')"
