Sentence,Entities
(10),"('10', 'CARDINAL')"
(11),"('11', 'CARDINAL')"
(15),"('15', 'CARDINAL')"
(17),"('17', 'CARDINAL')"
(34),"('34', 'CARDINAL')"
(70),"('70', 'CARDINAL')"
"A crowd of pilgrims from
 the East and West continued to visit the holy sepulchre, and
 the adjacent sanctuaries, more especially at the festival of
 Easter; and the Greeks and Latins, the Nestorians and
 Jacobites, the Copts and Abyssinians, the Armenians and
 Georgians, maintained the chapels, the clergy, and the poor
 of their respective communions.","('East', 'LOC'), ('West', 'LOC'), ('Easter', 'EVENT'), ('Greeks', 'NORP'), ('Latins', 'NORP'), ('Nestorians', 'NORP'), ('Jacobites', 'NORP'), ('Copts', 'NORP'), ('Abyssinians', 'NORP'), ('Armenians', 'NORP'), ('Georgians', 'NORP')"
"A number of arrows were
 successively inscribed with the name of a tribe, a family,
 and a candidate; they were drawn from the bundle by the hand
 of a child; and the important prize was obtained by Togrul
 Beg, the son of Michael the son of Seljuk, whose surname was
 immortalized in the greatness of his posterity.","('Togrul\r\n Beg', 'PERSON'), ('Michael', 'PERSON'), ('Seljuk', 'PERSON')"
"A prince of the royal line, Cutulmish, the son of Izrail,  the son of Seljuk, had fallen in a battle against Alp Arslan
 and the humane victor had dropped a tear over his grave.","('Cutulmish', 'PERSON'), ('Izrail', 'PERSON'), ('Seljuk', 'PERSON'), ('Alp Arslan', 'PERSON')"
A slighter provocation inflamed the more irascible temper of their descendants: a new spirit had arisen of religious chivalry and papal dominion; a nerve was touched of exquisite feeling; and the sensation vibrated to the heart of Europe.,"('Europe', 'LOC')"
"A sovereign resident in Egypt was
 more sensible of the importance of Christian trade; and the
 emirs of Palestine were less remote from the justice and
 power of the throne.","('Egypt', 'GPE'), ('Christian', 'NORP'), ('Palestine', 'GPE')"
"A spirit of native barbarism, or recent zeal,
 prompted the Turkmans to insult the clergy of every sect: the patriarch was dragged by the hair along the pavement, and cast into a dungeon, to extort a ransom from the sympathy of his flock; and the divine worship in the church of the Resurrection was often disturbed by the savage rudeness of its masters.","('Turkmans', 'NORP')"
"About thirty years before the first crusade, the arch bishop
 of Mentz, with the bishops of Utrecht, Bamberg, and
 Ratisbon, undertook this laborious journey from the Rhine to
 the Jordan; and the multitude of their followers amounted to
 seven thousand persons.","('About thirty years', 'DATE'), ('first', 'ORDINAL'), ('Mentz', 'GPE'), ('Utrecht', 'GPE'), ('Bamberg', 'GPE'), ('Ratisbon', 'PERSON'), ('Rhine', 'LOC'), ('Jordan', 'GPE'), ('seven thousand', 'CARDINAL')"
"Accompanied by his four brothers, he passed the Euphrates; the Turkish camp was soon seated in the neighbourhood of Kutaieh in Phrygia; and his flying cavalry
 laid waste the country as far as the Hellespont and the
 Black Sea.","('four', 'CARDINAL'), ('Euphrates', 'LOC'), ('Turkish', 'NORP'), ('Kutaieh', 'GPE'), ('Phrygia', 'GPE'), ('Hellespont', 'LOC'), ('the\r\n Black Sea', 'LOC')"
"After
 Togrul had seated himself on another throne, his commission
 was publicly read, which declared him the temporal
 lieutenant of the vicar of the prophet.","('Togrul', 'PERSON')"
"After an administration of thirty years, the fame of the
 vizier, his wealth, and even his services, were transformed
 into crimes.","('thirty years', 'DATE')"
