Sentence,Entities
"""Constantia, the daughter of Sicily, nursed from her cradle in the pleasures and plenty, and educated in the arts and manners, of this fortunate isle, departed long since to enrich the Barbarians with our treasures, and now returns, with her savage allies, to contaminate the beauties of her venerable parent.","('Constantia', 'PERSON'), ('Sicily', 'GPE'), ('Barbarians', 'NORP')"
"""The Normans,"" says Malaterra,   ""are a cunning
 and revengeful people; eloquence and dissimulation appear to be their hereditary qualities: they can stoop to flatter; but unless they are curbed by the restraint of law, they indulge the licentiousness of nature and passion.","('Normans', 'NORP'), ('Malaterra', 'PERSON')"
(122),"('122', 'CARDINAL')"
(41),"('41', 'CARDINAL')"
(51),"('51', 'CARDINAL')"
(53),"('53', 'CARDINAL')"
"1. It was the amusement of the Saracens to profane, as well as to pillage, the monasteries and churches.","('1', 'CARDINAL'), ('Saracens', 'NORP')"
"2. The Saracens besieged the cities of Beneventum and Capua: after a vain appeal to the successors of Charlemagne, the Lombards implored the clemency and aid of the Greek emperor. (11) A fearless citizen dropped from the walls, passed the entrenchments, accomplished his
 commission, and fell into the hands of the Barbarians as he
 was returning with the welcome news.","('2', 'CARDINAL'), ('Saracens', 'NORP'), ('Beneventum', 'GPE'), ('Capua', 'GPE'), ('Charlemagne', 'PERSON'), ('Lombards', 'PERSON'), ('Greek', 'NORP'), ('11', 'CARDINAL'), ('Barbarians', 'NORP')"
3. The recital of a third incident may provoke a smile amidst the horrors of war.,"('3', 'CARDINAL'), ('third', 'ORDINAL')"
"A
 series of rebellions might dart a ray of truth into the
 palace of Constantinople; and the illusions of flattery were
 dispelled by the easy and rapid success of the Norman
 adventurers.","('Constantinople', 'GPE'), ('Norman', 'PERSON')"
"A Greek, who
 styled himself the father of Constantine, soon appeared at
 Salerno, and related the adventures of his fall and flight.","('Greek', 'NORP'), ('Constantine', 'PERSON'), ('Salerno', 'PERSON')"
