Sentence,Entities
(14),"('14', 'CARDINAL')"
(3),"('3', 'CARDINAL')"
(34),"('34', 'CARDINAL')"
(4),"('4', 'CARDINAL')"
(41),"('41', 'CARDINAL')"
(5),"('5', 'CARDINAL')"
"(9) A short
 delineation of that celebrated system will be found useful,
 not only to display the character of the Persian nation, but
 to illustrate many of their most important transactions,
 both in peace and war, with the Roman empire. (10)
Persian theology; two principles","('Persian', 'NORP'), ('Roman', 'NORP'), ('10', 'CARDINAL'), ('Persian', 'NORP'), ('two', 'CARDINAL')"
"A
 cheerful submission was rewarded with honours and riches;
 but the prudent Artaxerxes, suffering no person except
 himself to assume the title of king, abolished every
 intermediate power between the throne and the people.","('Artaxerxes', 'PERSON')"
"A
 regular hierarchy was diffused through all the provinces of
 Persia; and the Archimagus, who resided at Balch, was
 respected as the visible head of the church, and the lawful
 successor of Zoroaster. (17)","('Persia', 'LOC'), ('Archimagus', 'NORP'), ('Balch', 'PERSON'), ('Zoroaster', 'PERSON'), ('17', 'CARDINAL')"
"A forty years' tranquillity, the fruit
 of valour and moderation, had succeeded the victories of
 Trajan.","(""forty years'"", 'DATE'), ('Trajan', 'PERSON')"
"A third, more mindful of ancient
 grandeur than of present necessity, attempted to retire,
 with a numerous train of vassals, towards their kinsman, the
 king of Armenia; but this little army of deserters was
 intercepted, and cut off, by the vigilance of the conqueror,
  (6) who boldly assumed the double diadem, and the title of
 King of Kings, which had been enjoyed by his predecessor.","('third', 'ORDINAL'), ('Armenia', 'GPE'), ('6', 'CARDINAL'), ('King of Kings', 'PERSON')"
"Abgarus, the last king of
 Edessa, was (A.D. 216) sent in chains to Rome, his dominions
 reduced into a province, and his capital dignified with the
 rank of colony and thus the Romans, about ten years before
 the fall of the Parthian monarchy, obtained a firm and
 permanent establishment beyond the Euphrates. (46)","('Abgarus', 'PERSON'), ('Edessa', 'PERSON'), ('A.D. 216', 'DATE'), ('Rome', 'GPE'), ('Romans', 'NORP'), ('about ten years', 'DATE'), ('Parthian', 'NORP'), ('Euphrates', 'LOC')"
