Sentence,Entities
"""Rather than abstain from adoring Christ and his Mother in their holy images, it would be better for you,"" replied the casuist, ""to enter every brothel, and visit every prostitute, in the
 city."" (80)","('Christ', 'PERSON'), ('80', 'CARDINAL')"
"""Romans,"" exclaimed the youth, ""once you were the masters of the world, and these Burgundians the most abject of your slaves.","('Romans', 'NORP'), ('Burgundians', 'NORP')"
(101),"('101', 'CARDINAL')"
(112),"('112', 'CARDINAL')"
(115),"('115', 'CARDINAL')"
(116),"('116', 'CARDINAL')"
(141),"('141', 'CARDINAL')"
(2),"('2', 'CARDINAL')"
(35),"('35', 'CARDINAL')"
(38),"('38', 'CARDINAL')"
(4),"('4', 'CARDINAL')"
(43),"('43', 'CARDINAL')"
(53),"('53', 'CARDINAL')"
(6),"('6', 'CARDINAL')"
(75),"('75', 'CARDINAL')"
"A
 hundred princes bowed before his throne, and exalted their
 own dignity by the voluntary honours which they yielded to
 their chief or minister.","('A\r\n hundred', 'CARDINAL')"
"A
 new super structure of fable was raised on the popular basis
 of a Syrian legend, on the correspondence of Christ and
 Abgarus, so famous in the days of Eusebius, so reluctantly
 deserted by our modern advocates.","('Syrian', 'NORP'), ('Christ', 'PERSON'), ('Abgarus', 'PERSON'), ('Eusebius', 'PERSON')"
"A
 single question yet remained, whether they are endowed with
 any proper and inherent sanctity; it was agitated by the
 Greeks of the eleventh century; (81) and as this opinion has
 the strongest recommendation of absurdity, I am surprised
 that it was not more explicitly decided in the affirmative.","('Greeks', 'NORP'), ('the eleventh century', 'DATE'), ('81', 'DATE')"
"A
 torrent of Barbarians may pass over the earth, but an
 extensive empire must be supported by a refined system of
 policy and oppression; in the centre, an absolute power,
 prompt in action and rich in resources; a swift and easy
 communication with the extreme parts; fortifications to
 check the first effort of rebellion; a regular
 administration to protect and punish; and a well-disciplined
 army to inspire fear, without provoking discontent and
 despair.","('Barbarians', 'NORP'), ('first', 'ORDINAL')"
"A
 treaty of peace and alliance was concluded between the two
 empires, and the limits of the East and West were defined by
 the right of present possession.","('two', 'CARDINAL'), ('East', 'LOC'), ('West', 'LOC')"
"A distant and dangerous
 station, amidst the Barbarians of the West, excited the
 spirit and freedom of the Latin bishops.","('Barbarians', 'NORP'), ('West', 'LOC'), ('Latin', 'NORP')"
"A faint remembrance of
 their ancestors still tormented the Romans; and they beheld
 with pious indignation the succession of Saxons, Franks,
 Swabians, and Bohemians, who usurped the purple and
 prerogatives of the Caesars.","('Romans', 'NORP'), ('Saxons', 'NORP'), ('Franks', 'NORP'), ('Swabians', 'NORP'), ('Bohemians', 'NORP'), ('Caesars', 'ORG')"
"A form of administration was preserved
 by the election of magistrates and governors; and so high
 was the public indignation, that the Italians were prepared
 to create an orthodox emperor, and to conduct him with a
 fleet and army to the palace of Constantinople.","('Italians', 'NORP'), ('Constantinople', 'GPE')"
"A memorable example of repentance
 and piety was exhibited by Liutprand, king of the Lombards.","('Liutprand', 'PERSON'), ('Lombards', 'PERSON')"
"A monk had concluded a truce
 with the daemon of fornication, on condition of interrupting
 his daily prayers to a picture that hung in his cell.","('daily', 'DATE')"
"A more specious argument is drawn from present possession and recent practice the harmony of the Christian world supersedes the demand of a general council; and Gregory frankly confesses, than such assemblies can only be useful under the reign of an orthodox
 prince.","('Christian', 'NORP'), ('Gregory', 'PERSON')"
"A portion of Gaul, to the
 west of the Rhine, along the banks of the Meuse and the
 Moselle, was assigned to the Germans, by whose blood and
 language it has been tinged since the time of Caesar and
 Tacitus.","('Gaul', 'LOC'), ('Rhine', 'LOC'), ('Meuse', 'FAC'), ('Moselle', 'LOC'), ('Germans', 'NORP'), ('Caesar', 'PERSON'), ('Tacitus', 'PERSON')"
A similar indulgence was requisite and propitious for the Virgin Mary: the place of her burial was unknown; and the assumption of her soul and body into heaven was adopted by the credulity of the Greeks and Latins.,"('the Virgin Mary', 'PERSON'), ('Greeks', 'NORP'), ('Latins', 'NORP')"
A.D. 1347-1378 .,"('A.D. 1347-1378', 'DATE')"
A.D. 1355,"('A.D. 1355', 'DATE')"
A.D. 813.,"('813', 'CARDINAL')"
A.D. 814-887 in Italy; 911 in Germany; 987 in France .,"('A.D. 814-887', 'DATE'), ('Italy', 'GPE'), ('911', 'CARDINAL'), ('Germany', 'GPE'), ('987', 'CARDINAL'), ('France', 'GPE')"
A.D. 967.,"('A.D. 967', 'DATE')"
A.D. 998.,"('A.D. 998', 'DATE')"
"According to the legend, the first of the Christian
 emperors was healed of the leprosy, and purified in the
 waters of baptism, by St. Silvester, the Roman bishop; and
 never was physician more gloriously recompensed.","('first', 'ORDINAL'), ('Christian', 'NORP'), ('St. Silvester', 'PERSON'), ('Roman', 'NORP')"
"According to the measure of their force, the governors, the bishops, and the lords, usurped the fragments of the falling empire; and some preference was shown to the female or illegitimate
 blood of Charlemagne.","('Charlemagne', 'PERSON')"
"After
 his just condemnation by the bishops of Sicily, the tyrant
 was cut off, in the fullness of his sins, by a domestic
 servant: the saint is still adored by the nations of
 Scythia, among whom he ended his banishment and his life.","('Sicily', 'GPE'), ('Scythia', 'PERSON')"
"After
 suffering from the winds and waves much loss and delay, the
 Greeks made their descent in the neighbourhood of Ravenna:
 they threatened to depopulate the guilty capital, and to
 imitate, perhaps to surpass, the example of Justinian the
 Second, who had chastised a former rebellion by the choice
 and execution of fifty of the principal inhabitants.","('Greeks', 'NORP'), ('Ravenna', 'GPE'), ('Justinian', 'PERSON'), ('Second', 'ORDINAL'), ('fifty', 'CARDINAL')"
"After a
 servitude of three hundred years, the Palladium was yielded
 to the devotion of Constantinople, for a ransom of twelve
 thousand pounds of silver, the redemption of two hundred
 Mussulmans, and a perpetual truce for the territory of
 Edessa. (16)","('three hundred years', 'DATE'), ('Palladium', 'FAC'), ('Constantinople', 'GPE'), ('twelve\r\n thousand pounds', 'QUANTITY'), ('two hundred', 'CARDINAL'), ('Mussulmans', 'NORP'), ('Edessa', 'GPE'), ('16', 'CARDINAL')"
"After a bloody conflict of
 eight years, the loss of some French generals was avenged by
 the slaughter of the most noble Huns: the relics of the
 nation submitted the royal residence of the chagan was left
 desolate and unknown; and the treasures, the rapine of two
 hundred and fifty years, enriched the victorious troops, or
 decorated the churches of Italy and Gaul. (111)","('eight years', 'DATE'), ('French', 'NORP'), ('Huns', 'NORP'), ('two\r\n hundred and fifty years', 'DATE'), ('Italy', 'GPE'), ('Gaul', 'PERSON'), ('111', 'CARDINAL')"
"After a contest of fifty years,
 the first of these designs was accomplished by the firm
 support of the ecclesiastical order, whose liberty was
 connected with that of their chief.","('fifty years', 'DATE'), ('first', 'ORDINAL')"
"After a long and evasive contest, the
 rebellion of the dukes of Aquitain was punished by the
 forfeiture of their province, their liberty, and their
 lives.","('Aquitain', 'PERSON')"
"After a long series of
 scandal, the apostolic see was reformed and exalted by the
 austerity and zeal of Gregory VII.","('Gregory VII', 'PERSON')"
"After a serious deliberation of six months,
 the three hundred and thirty-eight bishops pronounced and
 subscribed a unanimous decree, that all visible symbols of
 Christ, except in the Eucharist, were either blasphemous or
 heretical; that image-worship was a corruption of
 Christianity and a renewal of Paganism; that all such
 monuments of idolatry should be broken or erased; and that
 those who should refuse to deliver the objects of their
 private superstition, were guilty of disobedience to the
 authority of the church and of the emperor.","('six months', 'DATE'), ('three hundred and thirty-eight', 'CARDINAL'), ('Christianity', 'NORP'), ('Paganism', 'NORP')"
"After a tedious journey of circuit and
 delay, the ambassadors of Nicephorus found him in his camp,
 on the banks of the River Sala; and Charlemagne affected to
 confound their vanity by displaying, in a Franconian
 village, the pomp, or at least the pride, of the Byzantine
 palace. (122)","('Nicephorus', 'PERSON'), ('the River Sala', 'LOC'), ('Charlemagne', 'PERSON'), ('Franconian', 'NORP'), ('Byzantine', 'NORP'), ('122', 'CARDINAL')"
"After a war, or battle, which
 consumed one hundred thousand Franks, the empire was divided
 by treaty between his three sons, who had violated every
 filial and fraternal duty.","('one hundred thousand', 'CARDINAL'), ('Franks', 'PERSON'), ('three', 'CARDINAL')"
"After soothing the public despair by litanies and
 orations, he undertook this laborious journey with the
 ambassadors of the French monarch and the Greek emperor.","('French', 'NORP'), ('Greek', 'NORP')"
"After the
 death of Theophilus, the final victory of the images was
 achieved by a second female, his widow Theodora, whom he
 left the guardian of the empire.","('Theophilus', 'PERSON'), ('second', 'ORDINAL'), ('Theodora', 'PERSON')"
"After the
 recovery of Italy and Africa by the arms of Justinian, the
 importance and danger of those remote provinces required the
 presence of a supreme magistrate; he was indifferently
 styled the exarch or the patrician; and these governors of
 Ravenna, who fill their place in the chronology of princes,
 extended their jurisdiction over the Roman city.","('Italy', 'GPE'), ('Africa', 'LOC'), ('Justinian', 'PERSON'), ('Ravenna', 'GPE'), ('Roman', 'NORP')"
"After the
 reduction of Pannonia, the empire of Charlemagne was bounded
 only by the conflux of the Danube with the Teyss and the
 Save: the provinces of Istria, Liburnia, and Dalmatia, were
 an easy, though unprofitable, accession; and it was an
 effect of his moderation, that he left the maritime cities
 under the real or nominal sovereignty of the Greeks.","('Pannonia', 'GPE'), ('Charlemagne', 'PERSON'), ('Danube', 'LOC'), ('Teyss', 'NORP'), ('Istria', 'GPE'), ('Liburnia', 'GPE'), ('Dalmatia', 'GPE'), ('Greeks', 'NORP')"
"After the Spanish expedition, his rear-guard
 was defeated in the Pyrenaean mountains; and the soldiers,
 whose situation was irretrievable, and whose valour was
 useless, might accuse, with their last breath, the want of
 skill or caution of their general. (99)","('Spanish', 'NORP'), ('Pyrenaean', 'NORP')"
