Sentence,Entities
"""I myself am the ninth,""   replied Ibrahim, who was prepared for the remark; and his flattery was rewarded by the smile of Timour. (14)","('the ninth', 'DATE'), ('Ibrahim', 'PERSON'), ('Timour', 'PERSON'), ('14', 'CARDINAL')"
(18),"('18', 'CARDINAL')"
(35),"('35', 'CARDINAL')"
(38),"('38', 'CARDINAL')"
(4),"('4', 'CARDINAL')"
(43),"('43', 'CARDINAL')"
"1. If some
 partial disorders, some local oppressions, were healed by
 the sword of Timour, the remedy was far more pernicious than
 the disease.","('1', 'CARDINAL'), ('Timour', 'PERSON')"
1.Mustapha;,"('1', 'CARDINAL'), ('Mustapha', 'PERSON')"
1.attested by the French.,"('French', 'NORP')"
2.Isa;,"('2.', 'CARDINAL')"
"3.
 The kingdoms of Transoxiana and Persia were the proper field
 which he labored to cultivate and adorn, as the perpetual
 inheritance of his family.","('3', 'CARDINAL'), ('Transoxiana', 'LOC'), ('Persia', 'GPE')"
"3.Soliman, A.D. 1403-1410.","('3', 'CARDINAL'), ('-1410', 'CARDINAL')"
"4. Whatsoever
 might be the blessings of his administration, they
 evaporated with his life.","('4', 'CARDINAL')"
"4.Mousa,A.D. 1410","('4', 'CARDINAL'), ('Mousa', 'PERSON'), ('A.D. 1410', 'DATE')"
4.by the Greeks.,"('Greeks', 'NORP')"
5.Mahomet I. A.D. 1413-1421.,"('5', 'CARDINAL'), ('1413-1421', 'CARDINAL')"
5.by the Turks.,"('Turks', 'NORP')"
"A
 colony of Genoese, (76) which had been planted at Phocaea (77) on the Ionian coast, was enriched by the lucrative monopoly
 of alum; (78) and their tranquillity, under the Turkish
 empire, was secured by the annual payment of tribute.","('Genoese', 'GPE'), ('76', 'CARDINAL'), ('Phocaea', 'GPE'), ('77', 'CARDINAL'), ('Ionian', 'NORP'), ('78', 'CARDINAL'), ('Turkish', 'NORP'), ('annual', 'DATE')"
"A degenerate
 mind seemed to argue his spurious birth; and if, on the
 throne of Adrianople, he was adored as the Ottoman sultan,
 his flight, his fetters, and an ignominious gibbet,
 delivered the impostor to popular contempt.","('Adrianople', 'PERSON'), ('Ottoman', 'NORP')"
"A family which had given honourable burial to the
 head of Hosein, and a colony of artificers, whom he sent to
 labor at Samarcand, were alone reserved in the general
 massacre, and after a period of seven centuries, Damascus
 was reduced to ashes, because a Tartar was moved by
 religious zeal to avenge the blood of an Arab.","('Hosein', 'PERSON'), ('Samarcand', 'GPE'), ('seven centuries', 'DATE'), ('Damascus', 'GPE'), ('Tartar', 'NORP'), ('Arab', 'NORP')"
"A fertile kingdom, five hundred miles in length and in breadth, might have satisfied the ambition of a subject; but Timour aspired to the dominion of the world; and before his death, the crown
 of Zagatai was one of the twenty- seven crowns which he had placed on his head.","('five hundred miles', 'QUANTITY'), ('Timour', 'PERSON'), ('Zagatai', 'PERSON'), ('one', 'CARDINAL'), ('twenty- seven', 'CARDINAL')"
"A fragment of the
 empire was upheld with some glory by Sharokh, his youngest
 son; but after his decease, the scene was again involved in
 darkness and blood; and before the end of a century,
 Transoxiana and Persia were trampled by the Uzbeks from the
 north, and the Turkmans of the black and white sheep.","('Sharokh', 'PERSON'), ('the end of a century', 'DATE'), ('Transoxiana', 'NORP'), ('Persia', 'LOC'), ('Uzbeks', 'NORP'), ('Turkmans', 'NORP')"
"A general indulgence was
 proclaimed: every law was relaxed, every pleasure was
 allowed; the people was free, the sovereign was idle; and
 the historian of Timour may remark, that, after devoting
 fifty years to the attainment of empire, the only happy
 period of his life were the two months in which he ceased to
 exercise his power.","('Timour', 'PERSON'), ('fifty years', 'DATE'), ('the two months', 'DATE')"
"A just retaliation might be urged for the invasion of
 Turkestan, or the Eastern Tartary.","('Turkestan', 'GPE'), ('the Eastern Tartary', 'LOC')"
"A new war was kindled in Europe by the prince, or impostor,
 Mustapha; the first vizier lost his army and his head; but
 the more fortunate Ibrahim, whose name and family are still
 revered, extinguished the last pretender to the throne of
 Bajazet, and closed the scene of domestic hostility.","('Europe', 'LOC'), ('Mustapha', 'PERSON'), ('first', 'ORDINAL'), ('Ibrahim', 'PERSON'), ('Bajazet', 'GPE')"
"A retrograde motion was imputed to his distress and despair: one of his nephews deserted to the enemy; and Syria rejoiced in the tale of his defeat, when the sultan was driven by the revolt of the Mamalukes to escape with precipitation and shame to his palace of Cairo.","('one', 'CARDINAL'), ('Syria', 'GPE'), ('Mamalukes', 'NORP'), ('Cairo', 'GPE')"
