Sentence,Entities
(14),"('14', 'CARDINAL')"
(16),"('16', 'CARDINAL')"
(17),"('17', 'CARDINAL')"
(3),"('3', 'CARDINAL')"
(5),"('5', 'CARDINAL')"
"A
 Greek minister, armed with legal and military powers,
 appeared at Colonia to strike the shepherd, and to reclaim,
 if possible, the lost sheep.","('Greek', 'NORP'), ('Colonia', 'GPE')"
"A confession of simple
 worship and blameless manners is extorted from their
 enemies; and so high was their standard of perfection, that
 the increasing congregations were divided into two classes
 of disciples, of those who practised, and of those who
 aspired.","('two', 'CARDINAL')"
"A creed
 thus simple and spiritual was not adapted to the genius of
 the times; (7) and the rational Christian, who might have been contented with the light yoke and easy burden of Jesus and his apostles, was justly offended, that the Paulicians
 should dare to violate the unity of God, the first article
 of natural and revealed religion.","('7', 'CARDINAL'), ('Christian', 'NORP'), ('Jesus', 'PERSON'), ('Paulicians', 'NORP'), ('first', 'ORDINAL')"
"A more dangerous and consuming flame was kindled by the persecution of Theodora, and the revolt of Carbeas, a valiant Paulician, who commanded the guards of the general of the East.","('Theodora', 'PERSON'), ('Carbeas', 'PERSON'), ('Paulician', 'PERSON'), ('East', 'LOC')"
"A philosopher, who calculates the degree of their merit and
 the value of their reformation, will prudently ask from what
 articles of faith, above or against our reason, they have
 enfranchised the Christians; for such enfranchisement is
 doubtless a benefit so far as it may be compatible with
 truth and piety.","('Christians', 'NORP')"
"A spiritual and temporal kingdom was
 possessed by the Roman pontiff; the Protestant doctors were
 subjects of an humble rank, without revenue or jurisdiction.","('Roman', 'NORP'), ('Protestant', 'NORP')"
"A thousand shades may be
 devised in the nature and character of Ahriman, from a rival
 god to a subordinate daemon, from passion and frailty to
 pure and perfect malevolence: but, in spite of our efforts,
 the goodness, and the power, of Ormusd are placed at the
 opposite extremities of the line; and every step that
 approaches the one must recede in equal proportion from the
 other.","('A thousand', 'CARDINAL'), ('Ahriman', 'NORP'), ('Ormusd', 'PERSON')"
"About the middle of the eight century, Constantine, surnamed
 Copronymus by the worshippers of images, had made an
 expedition into Armenia, and found, in the cities of
 Melitene and Theodosiopolis, a great number of Paulicians,
 his kindred heretics.","('About the middle of the eight century', 'DATE'), ('Constantine', 'PERSON'), ('Copronymus', 'PERSON'), ('Armenia', 'GPE'), ('Melitene', 'GPE'), ('Theodosiopolis', 'NORP'), ('Paulicians', 'NORP')"
"About the middle of the seventh century, a branch of
 Manichaeans was selected as the victims of spiritual
 tyranny; their patience was at length exasperated to despair
 and rebellion; and their exile has scattered over the West
 the seeds of reformation.","('About the middle of the seventh century', 'DATE'), ('Manichaeans', 'NORP'), ('West', 'LOC')"
"After
 the conversion of Hungary, the pilgrims who visited
 Jerusalem might safely follow the course of the Danube: in
 their journey and return they passed through Philippopolis;
 and the sectaries, disguising their name and heresy, might
 accompany the French or German caravans to their respective
 countries.","('Hungary', 'GPE'), ('Jerusalem', 'GPE'), ('Danube', 'LOC'), ('Philippopolis', 'GPE'), ('French', 'NORP'), ('German', 'NORP')"
"After a fair discussion, we shall rather
 be surprised by the timidity, than scandalized by the
 freedom, of our first reformers. (32)","('first', 'ORDINAL'), ('32', 'CARDINAL')"
"After a mission of twenty-seven years,
 Sylvanus, who had retired from the tolerating government of
 the Arabs, fell a sacrifice to Roman persecution.","('twenty-seven years', 'DATE'), ('Sylvanus', 'PERSON'), ('Arabs', 'NORP'), ('Roman', 'NORP')"
"After the departure and death of Alexius, they soon
 resumed their civil and religious laws.","('Alexius', 'PERSON')"
"As a favour, or punishment, he
 transplanted them from the banks of the Euphrates to
 Constantinople and Thrace; and by this emigration their
 doctrine was introduced and diffused in Europe. (21)","('Euphrates', 'LOC'), ('Constantinople', 'GPE'), ('Thrace', 'LOC'), ('Europe', 'LOC'), ('21', 'CARDINAL')"
"As long as they were awed by power and treated with
 moderation, their voluntary bands were distinguished in the
 armies of the empire; and the courage of these dogs, ever
 greedy of war, ever thirsty of human blood, is noticed with
 astonishment, and almost with reproach, by the pusillanimous
 Greeks.","('Greeks', 'NORP')"
"At
 an unseasonable moment, the Isaurian emperors attempted
 somewhat rudely to awaken their subjects: under their
 influence reason might obtain some proselytes, a far greater
 number was swayed by interest or fear; but the Eastern world
 embraced or deplored their visible deities, and the
 restoration of images was celebrated as the feast of
 orthodoxy.","('Isaurian', 'NORP'), ('Eastern', 'NORP')"
